Call ID,Customer Company Name,Sentiment,CSAT Score,Call Timestamp,Reason,City,State,Channel,Response Time,Call Duration (in Minutes),Call Center,First Contact Resolution (FCR) Flag,Abandon Flag,Agent
DKK-85510773-w-230280-fU,Astro Tech,Neutral,1,8/26/23 7:18,Payment Issue,Los Angeles,Texas,Call-Center,Within SLA,54,Dallas/TX,N,N,Daniel Lee
DKK-15624211-w-864143-fU,Delta Services,Negative,1,6/28/23 7:19,New Service Inquiry,Dallas,Michigan,Chatbot,Above SLA,5,New York/NY,Y,N,Anita Patel
DKK-63106279-w-377663-fU,Prime Associates,Negative,3,10/23/23 19:22,New Service Inquiry,San Antonio,California,Chatbot,Above SLA,26,Los Angeles/CA,Y,N,John Smith
DKK-27763421-w-419961-fU,Alpha Solutions,Very Negative,5,3/9/23 0:11,Payment Issue,San Jose,Arizona,Call-Center,Above SLA,26,New York/NY,N,N,Anita Patel
DKK-75575660-w-420662-fU,Alpha Solutions,Neutral,4,2/28/23 22:56,New Service Inquiry,Chicago,California,Chatbot,Within SLA,4,Dallas/TX,N,Y,Daniel Lee
DKK-64914309-w-254646-fU,Alpha Solutions,Very Negative,1,1/18/23 21:56,Payment Issue,Dallas,New York,Chatbot,Above SLA,36,Dallas/TX,Y,Y,John Smith
DKK-76493110-w-445439-fU,Berge and Sons,Positive,1,3/10/23 18:33,Payment Issue,San Antonio,California,Chatbot,Within SLA,19,New York/NY,Y,N,John Smith
DKK-62503876-w-385450-fU,Prime Associates,Very Negative,3,5/30/23 20:25,New Service Inquiry,Chicago,Michigan,Chatbot,Above SLA,45,Los Angeles/CA,N,Y,Linda Chen
DKK-67165340-w-899072-fU,Alpha Solutions,Negative,5,6/11/23 9:49,Service Outage,San Antonio,Michigan,Call-Center,Above SLA,52,Los Angeles/CA,N,Y,John Smith
DKK-37187693-w-853920-fU,Nova Enterprises,Very Negative,2,8/7/23 16:32,Technical Support,Chicago,New York,Call-Center,Within SLA,42,Los Angeles/CA,Y,Y,Daniel Lee
DKK-52941044-w-875380-fU,Omega Corp,Positive,5,8/7/23 20:06,Payment Issue,Detroit,Arizona,Chatbot,Above SLA,25,Chicago/IL,Y,N,Michael Brown
DKK-64360556-w-872497-fU,Alpha Solutions,Negative,1,11/5/23 20:08,New Service Inquiry,San Diego,Texas,Chatbot,Above SLA,1,Dallas/TX,N,Y,Sophia Garcia
DKK-72985777-w-708130-fU,Nova Enterprises,Positive,1,10/4/23 10:42,New Service Inquiry,San Antonio,Michigan,Call-Center,Above SLA,51,New York/NY,N,N,Daniel Lee
DKK-90162355-w-133730-fU,Astro Tech,Negative,4,12/17/23 6:30,Account Update,Dallas,New York,Call-Center,Within SLA,22,Chicago/IL,Y,Y,John Smith
DKK-16805157-w-428464-fU,Delta Services,Very Negative,2,2/14/23 1:56,New Service Inquiry,Houston,Illinois,Chatbot,Above SLA,51,Dallas/TX,Y,N,Emily Johnson
DKK-75575660-w-420662-fU,Alpha Solutions,Neutral,4,2/28/23 22:56,New Service Inquiry,Chicago,California,Chatbot,Within SLA,4,Dallas/TX,N,Y,Daniel Lee
DKK-95425493-w-736315-fU,Berge and Sons,Neutral,4,7/14/23 2:02,Service Outage,Chicago,New York,Call-Center,Within SLA,38,Los Angeles/CA,Y,Y,John Smith
DKK-42357737-w-439877-fU,Nova Enterprises,Neutral,4,7/5/23 1:23,Payment Issue,New York,California,Call-Center,Within SLA,44,Dallas/TX,Y,N,Emily Johnson
DKK-91226679-w-377030-fU,Techtronics Ltd,Neutral,2,11/26/23 8:00,New Service Inquiry,Detroit,Texas,Call-Center,Above SLA,16,Dallas/TX,Y,N,David Kim
DKK-99727150-w-866882-fU,Astro Tech,Negative,5,2/26/23 18:57,Payment Issue,Chicago,Michigan,Call-Center,Above SLA,14,Dallas/TX,Y,Y,Emily Johnson
DKK-78454033-w-243571-fU,Alpha Solutions,Neutral,4,8/22/23 17:54,New Service Inquiry,San Diego,New York,Chatbot,Above SLA,53,Los Angeles/CA,N,Y,David Kim
DKK-97428510-w-137786-fU,Alpha Solutions,Very Positive,1,9/14/23 20:44,Service Outage,San Jose,Michigan,Call-Center,Above SLA,31,Dallas/TX,Y,N,John Smith
DKK-11046256-w-870070-fU,Astro Tech,Negative,5,9/10/23 21:29,Technical Support,San Antonio,New York,Call-Center,Within SLA,53,Los Angeles/CA,Y,N,Michael Brown
DKK-20239185-w-441654-fU,Nova Enterprises,Very Positive,3,9/12/23 19:13,New Service Inquiry,Houston,California,Call-Center,Within SLA,2,Chicago/IL,Y,N,Michael Brown
DKK-67307308-w-298825-fU,Nova Enterprises,Very Positive,5,4/26/23 19:51,Technical Support,San Jose,New York,Call-Center,Within SLA,57,Los Angeles/CA,N,N,Anita Patel
DKK-29484716-w-567329-fU,Global Ventures,Negative,1,10/12/23 3:22,New Service Inquiry,San Diego,Illinois,Chatbot,Within SLA,49,Los Angeles/CA,Y,Y,Sophia Garcia
DKK-51804309-w-403447-fU,Astro Tech,Very Negative,5,8/27/23 0:10,Payment Issue,Chicago,Arizona,Call-Center,Within SLA,24,New York/NY,N,Y,Daniel Lee
DKK-97537395-w-832175-fU,Omega Corp,Very Positive,1,4/17/23 12:38,Service Outage,San Antonio,Texas,Chatbot,Within SLA,7,Dallas/TX,Y,N,Emily Johnson
DKK-53907465-w-587711-fU,Pinnacle Group,Negative,5,3/2/23 19:57,Technical Support,Detroit,Texas,Chatbot,Above SLA,16,Chicago/IL,N,N,David Kim
DKK-47055655-w-927443-fU,Omega Corp,Neutral,3,12/31/23 8:59,Service Outage,Dallas,New York,Call-Center,Within SLA,45,Los Angeles/CA,N,N,John Smith
DKK-84743345-w-258995-fU,Berge and Sons,Neutral,4,10/8/23 15:44,Payment Issue,San Diego,Illinois,Chatbot,Above SLA,18,Chicago/IL,Y,Y,Daniel Lee
DKK-61071245-w-629430-fU,Omega Corp,Positive,5,5/2/23 20:48,New Service Inquiry,Chicago,New York,Call-Center,Within SLA,44,Dallas/TX,N,Y,John Smith
DKK-89045154-w-437604-fU,Pinnacle Group,Very Negative,5,1/3/23 19:27,Technical Support,Chicago,Illinois,Chatbot,Within SLA,55,New York/NY,Y,Y,Michael Brown
DKK-30933499-w-975124-fU,Delta Services,Negative,5,11/3/23 7:55,New Service Inquiry,Houston,California,Call-Center,Within SLA,55,Los Angeles/CA,N,Y,Michael Brown
DKK-94852749-w-452637-fU,Delta Services,Neutral,4,6/7/23 5:26,Service Outage,Chicago,Arizona,Call-Center,Above SLA,48,Los Angeles/CA,Y,N,Anita Patel
DKK-21482803-w-491622-fU,Omega Corp,Negative,1,11/16/23 20:17,Payment Issue,Phoenix,California,Call-Center,Within SLA,14,New York/NY,N,N,John Smith
DKK-12429231-w-848117-fU,Techtronics Ltd,Very Negative,3,1/20/23 17:17,Billing Question,Phoenix,Texas,Call-Center,Above SLA,52,Los Angeles/CA,N,Y,David Kim
DKK-53935747-w-691971-fU,Techtronics Ltd,Negative,3,3/28/23 0:33,Account Update,San Jose,California,Call-Center,Above SLA,4,Dallas/TX,Y,N,Sophia Garcia
DKK-74679156-w-351054-fU,Omega Corp,Very Positive,4,6/10/23 3:05,Payment Issue,New York,Texas,Call-Center,Within SLA,60,Chicago/IL,Y,Y,Emily Johnson
DKK-62177372-w-882986-fU,Pinnacle Group,Positive,2,6/11/23 3:17,Technical Support,Los Angeles,California,Call-Center,Above SLA,25,Chicago/IL,Y,Y,Daniel Lee
DKK-93971984-w-959187-fU,Alpha Solutions,Very Negative,2,2/12/23 8:03,New Service Inquiry,San Antonio,Michigan,Chatbot,Above SLA,37,Dallas/TX,Y,N,Emily Johnson
DKK-61378002-w-869141-fU,Alpha Solutions,Negative,1,4/2/23 19:02,Technical Support,Detroit,Illinois,Call-Center,Within SLA,31,New York/NY,Y,N,Emily Johnson
DKK-88640223-w-462065-fU,Nova Enterprises,Very Positive,5,4/7/23 11:19,Technical Support,Detroit,California,Call-Center,Within SLA,28,New York/NY,N,Y,Emily Johnson
DKK-16871069-w-246044-fU,Techtronics Ltd,Neutral,3,12/12/23 17:50,New Service Inquiry,Detroit,Texas,Chatbot,Above SLA,16,Los Angeles/CA,N,N,Michael Brown
DKK-80747587-w-922576-fU,Omega Corp,Neutral,4,12/31/23 5:29,Technical Support,Detroit,New York,Call-Center,Within SLA,26,Los Angeles/CA,N,N,Michael Brown
DKK-88490347-w-105839-fU,Pinnacle Group,Very Positive,4,4/10/23 9:13,Payment Issue,Los Angeles,Texas,Chatbot,Within SLA,48,Los Angeles/CA,N,Y,David Kim
DKK-54194598-w-431445-fU,Omega Corp,Neutral,2,6/23/23 6:23,Payment Issue,Phoenix,New York,Chatbot,Above SLA,31,New York/NY,Y,Y,Sophia Garcia
DKK-90502326-w-274917-fU,Omega Corp,Neutral,3,5/2/23 7:23,New Service Inquiry,San Jose,California,Chatbot,Above SLA,8,Los Angeles/CA,N,N,David Kim
DKK-66049964-w-806709-fU,Berge and Sons,Very Negative,4,7/13/23 14:14,Service Outage,New York,Michigan,Call-Center,Within SLA,40,Chicago/IL,N,N,Linda Chen
DKK-83771425-w-476653-fU,Berge and Sons,Neutral,3,7/26/23 5:24,Payment Issue,Dallas,Texas,Chatbot,Above SLA,48,Dallas/TX,Y,Y,David Kim
DKK-58445609-w-985951-fU,Prime Associates,Neutral,3,5/14/23 6:03,New Service Inquiry,Los Angeles,Illinois,Chatbot,Above SLA,4,Los Angeles/CA,N,N,Anita Patel
DKK-67990760-w-607244-fU,Omega Corp,Negative,3,3/26/23 19:32,Service Outage,Detroit,Michigan,Call-Center,Within SLA,53,Chicago/IL,Y,Y,Linda Chen
DKK-23566631-w-837597-fU,Alpha Solutions,Positive,4,4/5/23 22:36,New Service Inquiry,San Antonio,Arizona,Call-Center,Above SLA,3,Chicago/IL,N,N,John Smith
DKK-61470536-w-958423-fU,Berge and Sons,Negative,1,9/19/23 10:33,Payment Issue,Phoenix,Michigan,Chatbot,Within SLA,44,New York/NY,Y,Y,Daniel Lee
DKK-62177372-w-882986-fU,Pinnacle Group,Positive,2,6/11/23 3:17,Technical Support,Los Angeles,California,Call-Center,Above SLA,25,Chicago/IL,Y,Y,Daniel Lee
DKK-26860543-w-336607-fU,Astro Tech,Neutral,4,4/7/23 17:24,Service Outage,Dallas,Illinois,Chatbot,Above SLA,39,Chicago/IL,N,N,Emily Johnson
DKK-65498864-w-127884-fU,Alpha Solutions,Neutral,5,9/12/23 21:38,Service Outage,New York,New York,Call-Center,Within SLA,30,New York/NY,Y,Y,Linda Chen
DKK-55981866-w-302539-fU,Omega Corp,Very Negative,1,12/9/23 18:28,Technical Support,New York,Arizona,Call-Center,Within SLA,51,Dallas/TX,N,N,Michael Brown
DKK-67990760-w-607244-fU,Omega Corp,Negative,3,3/26/23 19:32,Service Outage,Detroit,Michigan,Call-Center,Within SLA,53,Chicago/IL,Y,Y,Linda Chen
DKK-49988955-w-565966-fU,Techtronics Ltd,Negative,4,11/26/23 8:29,New Service Inquiry,New York,Michigan,Call-Center,Above SLA,28,Chicago/IL,Y,N,Anita Patel
DKK-94136141-w-466045-fU,Omega Corp,Negative,2,1/25/23 22:35,New Service Inquiry,New York,Arizona,Call-Center,Within SLA,54,New York/NY,N,Y,John Smith
DKK-20736354-w-127130-fU,Berge and Sons,Very Positive,3,1/1/23 5:07,Service Outage,Houston,New York,Chatbot,Within SLA,35,Dallas/TX,Y,Y,Anita Patel
DKK-52915649-w-407795-fU,Delta Services,Neutral,4,6/10/23 21:35,Service Outage,Los Angeles,Arizona,Chatbot,Above SLA,53,Chicago/IL,N,Y,Daniel Lee
DKK-86381942-w-774538-fU,Omega Corp,Negative,2,8/15/23 12:41,Service Outage,Dallas,Texas,Call-Center,Within SLA,53,Dallas/TX,Y,Y,Linda Chen
DKK-92929119-w-732903-fU,Berge and Sons,Neutral,2,11/23/23 2:40,New Service Inquiry,New York,Michigan,Chatbot,Within SLA,1,Chicago/IL,Y,N,Linda Chen
DKK-10796813-w-585459-fU,Astro Tech,Positive,5,11/12/23 0:06,New Service Inquiry,San Antonio,New York,Call-Center,Above SLA,35,New York/NY,N,N,Daniel Lee
DKK-88490347-w-105839-fU,Alpha Solutions,Very Negative,3,1/9/23 21:19,Account Update,New York,Michigan,Chatbot,Above SLA,50,Chicago/IL,Y,N,John Smith
DKK-29775189-w-346085-fU,Pinnacle Group,Negative,2,9/22/23 2:59,Account Update,Detroit,Texas,Call-Center,Within SLA,59,Chicago/IL,N,N,Emily Johnson
DKK-29775189-w-346085-fU,Berge and Sons,Neutral,1,5/23/23 0:29,New Service Inquiry,Los Angeles,New York,Call-Center,Above SLA,6,New York/NY,N,N,Linda Chen
DKK-67307308-w-298825-fU,Nova Enterprises,Very Positive,5,4/26/23 19:51,Technical Support,San Jose,New York,Call-Center,Within SLA,57,Los Angeles/CA,N,N,Anita Patel
DKK-21578722-w-941248-fU,Nova Enterprises,Positive,1,6/17/23 2:49,Technical Support,New York,Arizona,Chatbot,Within SLA,3,Dallas/TX,Y,N,Sophia Garcia
DKK-29775189-w-346085-fU,Pinnacle Group,Negative,2,9/22/23 2:59,Account Update,Detroit,Texas,Call-Center,Within SLA,59,Chicago/IL,N,N,Emily Johnson
DKK-53209019-w-970218-fU,Delta Services,Negative,3,11/29/23 22:00,Payment Issue,San Antonio,Michigan,Call-Center,Within SLA,36,Dallas/TX,N,N,Michael Brown
DKK-69078777-w-690464-fU,Pinnacle Group,Positive,3,2/9/23 4:40,Payment Issue,Phoenix,California,Call-Center,Within SLA,38,New York/NY,Y,Y,John Smith
DKK-55406636-w-827368-fU,Global Ventures,Very Positive,2,10/5/23 23:14,New Service Inquiry,Detroit,Texas,Chatbot,Within SLA,32,Dallas/TX,N,Y,Daniel Lee
DKK-53907465-w-587711-fU,Pinnacle Group,Negative,5,3/2/23 19:57,Technical Support,Detroit,Texas,Chatbot,Above SLA,16,Chicago/IL,N,N,David Kim
DKK-39119671-w-491964-fU,Omega Corp,Neutral,2,8/14/23 15:27,New Service Inquiry,Dallas,Michigan,Call-Center,Within SLA,53,Chicago/IL,Y,Y,David Kim
DKK-29454003-w-444493-fU,Pinnacle Group,Very Positive,4,2/16/23 21:21,Payment Issue,Los Angeles,New York,Call-Center,Within SLA,26,Dallas/TX,N,N,David Kim
DKK-90861584-w-190470-fU,Delta Services,Very Positive,3,7/20/23 9:06,New Service Inquiry,Phoenix,Arizona,Call-Center,Above SLA,60,New York/NY,Y,N,Anita Patel
DKK-81899122-w-938700-fU,Alpha Solutions,Negative,2,3/18/23 12:56,New Service Inquiry,San Jose,Texas,Chatbot,Above SLA,7,Los Angeles/CA,Y,N,Sophia Garcia
DKK-91814099-w-106698-fU,Prime Associates,Very Positive,4,11/3/23 22:13,New Service Inquiry,San Diego,Illinois,Call-Center,Above SLA,9,Dallas/TX,Y,N,Linda Chen
DKK-29375831-w-610992-fU,Delta Services,Very Positive,1,2/26/23 4:18,New Service Inquiry,Dallas,Illinois,Chatbot,Within SLA,51,Chicago/IL,N,N,David Kim
DKK-33155678-w-913432-fU,Pinnacle Group,Very Negative,4,6/10/23 10:04,Payment Issue,Detroit,California,Call-Center,Within SLA,26,Chicago/IL,N,N,Michael Brown
DKK-42404872-w-391319-fU,Berge and Sons,Very Positive,1,3/8/23 14:52,Technical Support,New York,California,Chatbot,Within SLA,25,New York/NY,Y,N,Linda Chen
DKK-22650425-w-651245-fU,Alpha Solutions,Positive,3,4/6/23 2:05,Payment Issue,San Antonio,California,Chatbot,Within SLA,4,Chicago/IL,N,N,David Kim
DKK-15834195-w-968815-fU,Techtronics Ltd,Negative,4,2/1/23 7:33,Service Outage,New York,Arizona,Chatbot,Above SLA,6,Chicago/IL,N,N,Linda Chen
DKK-35368457-w-428105-fU,Nova Enterprises,Very Negative,3,9/17/23 23:21,Payment Issue,Chicago,Arizona,Call-Center,Within SLA,49,Los Angeles/CA,N,Y,Michael Brown
DKK-49126271-w-610743-fU,Nova Enterprises,Positive,4,8/8/23 2:13,New Service Inquiry,San Antonio,Illinois,Call-Center,Above SLA,38,New York/NY,Y,N,John Smith
DKK-92570784-w-514182-fU,Berge and Sons,Positive,3,5/12/23 2:40,Payment Issue,San Jose,Illinois,Call-Center,Within SLA,41,Chicago/IL,Y,N,Emily Johnson
DKK-22873885-w-937484-fU,Techtronics Ltd,Very Negative,3,7/12/23 5:55,Payment Issue,Houston,Texas,Chatbot,Within SLA,25,Chicago/IL,N,N,Anita Patel
DKK-72514703-w-401427-fU,Berge and Sons,Very Negative,5,10/20/23 22:20,New Service Inquiry,Chicago,Michigan,Call-Center,Above SLA,8,New York/NY,Y,Y,Sophia Garcia
DKK-83877271-w-329998-fU,Omega Corp,Very Negative,3,5/5/23 16:11,Service Outage,Dallas,Texas,Chatbot,Above SLA,22,Los Angeles/CA,Y,Y,Sophia Garcia
DKK-21219351-w-768780-fU,Berge and Sons,Neutral,1,8/19/23 19:36,Account Update,Houston,Illinois,Chatbot,Above SLA,42,Los Angeles/CA,Y,N,Emily Johnson
DKK-87202312-w-274497-fU,Omega Corp,Neutral,5,5/2/23 14:58,Payment Issue,Phoenix,Michigan,Chatbot,Within SLA,49,Chicago/IL,N,N,Michael Brown
DKK-68808765-w-597406-fU,Pinnacle Group,Neutral,2,2/11/23 3:18,Payment Issue,San Diego,Michigan,Chatbot,Within SLA,6,Los Angeles/CA,N,N,Michael Brown
DKK-17884151-w-547043-fU,Omega Corp,Positive,2,11/7/23 7:29,New Service Inquiry,Detroit,Michigan,Call-Center,Above SLA,59,Los Angeles/CA,N,N,Michael Brown
DKK-55406636-w-827368-fU,Global Ventures,Very Positive,2,10/5/23 23:14,New Service Inquiry,Detroit,Texas,Chatbot,Within SLA,32,Dallas/TX,N,Y,Daniel Lee
DKK-30782499-w-253171-fU,Delta Services,Positive,3,3/30/23 20:04,Technical Support,Phoenix,Texas,Call-Center,Within SLA,7,Chicago/IL,Y,N,Emily Johnson
DKK-94317360-w-847152-fU,Nova Enterprises,Neutral,4,1/17/23 8:38,New Service Inquiry,San Antonio,Illinois,Chatbot,Above SLA,40,New York/NY,N,N,John Smith
DKK-34329526-w-919840-fU,Delta Services,Very Positive,2,11/25/23 5:40,Payment Issue,Chicago,Texas,Call-Center,Above SLA,22,Los Angeles/CA,N,N,Anita Patel
DKK-51521076-w-106190-fU,Astro Tech,Very Negative,5,1/31/23 14:40,Payment Issue,Detroit,Michigan,Call-Center,Above SLA,43,Chicago/IL,N,N,Sophia Garcia
DKK-66967417-w-201137-fU,Omega Corp,Positive,2,10/26/23 3:01,New Service Inquiry,Dallas,Arizona,Chatbot,Within SLA,24,Los Angeles/CA,N,Y,John Smith
DKK-21219351-w-768780-fU,Berge and Sons,Neutral,1,8/19/23 19:36,Account Update,Houston,Illinois,Chatbot,Above SLA,42,Los Angeles/CA,Y,N,Emily Johnson
DKK-86182501-w-316564-fU,Omega Corp,Negative,4,5/23/23 18:51,Account Update,Dallas,California,Chatbot,Within SLA,16,Chicago/IL,N,Y,David Kim
DKK-35368457-w-428105-fU,Nova Enterprises,Very Negative,3,9/17/23 23:21,Payment Issue,Chicago,Arizona,Call-Center,Within SLA,49,Los Angeles/CA,N,Y,Daniel Lee
DKK-52394734-w-275980-fU,Nova Enterprises,Positive,2,3/7/23 4:29,New Service Inquiry,Detroit,Michigan,Chatbot,Above SLA,44,Los Angeles/CA,N,N,Daniel Lee
DKK-68671628-w-817219-fU,Global Ventures,Very Positive,2,1/31/23 2:56,Payment Issue,San Antonio,Texas,Call-Center,Above SLA,39,New York/NY,N,Y,Emily Johnson
DKK-31353279-w-477109-fU,Global Ventures,Very Positive,2,8/12/23 12:32,Technical Support,Phoenix,Texas,Call-Center,Within SLA,10,Chicago/IL,N,N,Daniel Lee
DKK-75629504-w-976306-fU,Omega Corp,Very Positive,3,9/11/23 20:05,Billing Question,Houston,Texas,Chatbot,Above SLA,26,Dallas/TX,N,N,Sophia Garcia
DKK-80677227-w-939991-fU,Global Ventures,Negative,1,2/23/23 6:41,Account Update,Houston,California,Chatbot,Within SLA,35,Los Angeles/CA,Y,Y,Emily Johnson
DKK-58740121-w-849297-fU,Techtronics Ltd,Positive,5,10/19/23 1:36,Service Outage,Detroit,Texas,Chatbot,Above SLA,57,Dallas/TX,Y,N,Anita Patel
DKK-97591322-w-475517-fU,Omega Corp,Positive,5,5/19/23 11:56,Technical Support,San Antonio,California,Chatbot,Within SLA,18,Los Angeles/CA,N,N,John Smith
DKK-20697276-w-978792-fU,Astro Tech,Very Positive,3,6/23/23 2:09,Technical Support,Los Angeles,Illinois,Chatbot,Within SLA,21,Chicago/IL,Y,Y,David Kim
DKK-59046231-w-553171-fU,Delta Services,Negative,3,3/9/23 1:07,New Service Inquiry,Phoenix,New York,Chatbot,Within SLA,36,Dallas/TX,N,Y,Emily Johnson
DKK-19836817-w-958626-fU,Alpha Solutions,Very Negative,4,5/10/23 21:14,Service Outage,San Antonio,California,Chatbot,Above SLA,6,Dallas/TX,Y,N,Daniel Lee
DKK-39052122-w-329150-fU,Pinnacle Group,Negative,1,3/12/23 0:13,Payment Issue,Chicago,Illinois,Call-Center,Above SLA,39,New York/NY,N,N,Michael Brown
DKK-16565063-w-341652-fU,Prime Associates,Very Negative,2,10/8/23 9:09,Service Outage,Houston,Texas,Call-Center,Within SLA,19,New York/NY,Y,Y,David Kim
DKK-49988955-w-565966-fU,Techtronics Ltd,Negative,4,11/26/23 8:29,New Service Inquiry,New York,Michigan,Call-Center,Above SLA,28,Chicago/IL,Y,N,Sophia Garcia
DKK-92237442-w-305129-fU,Berge and Sons,Neutral,4,11/30/23 13:00,New Service Inquiry,New York,California,Call-Center,Within SLA,42,Dallas/TX,N,Y,Sophia Garcia
DKK-68740074-w-975553-fU,Nova Enterprises,Very Positive,5,11/29/23 17:13,Technical Support,Houston,Illinois,Chatbot,Within SLA,36,Los Angeles/CA,Y,Y,Anita Patel
DKK-88079524-w-925209-fU,Nova Enterprises,Very Negative,1,12/5/23 11:29,New Service Inquiry,Houston,Arizona,Call-Center,Above SLA,54,Chicago/IL,Y,Y,David Kim
DKK-52192718-w-848789-fU,Global Ventures,Positive,5,3/17/23 5:23,New Service Inquiry,New York,Arizona,Chatbot,Above SLA,55,Los Angeles/CA,N,N,Anita Patel
DKK-97428510-w-137786-fU,Alpha Solutions,Very Positive,1,9/14/23 20:44,Service Outage,San Jose,Michigan,Call-Center,Above SLA,31,Dallas/TX,Y,N,John Smith
